LSOA code (2011),LSOA name (2011),Local Authority District code (2013),Local Authority District name (2013),Income Deprivation Affecting Children Index (IDACI) Score (rate),Income Deprivation Affecting Children Index (IDACI) Rank (where 1 is most deprived),Income Deprivation Affecting Children Index (IDACI) Decile (where 1 is most deprived 10% of LSOAs),Income Deprivation Affecting Older People (IDAOPI) Score (rate),Income Deprivation Affecting Older People (IDAOPI) Rank (where 1 is most deprived),Income Deprivation Affecting Older People (IDAOPI) Decile (where 1 is most deprived 10% of LSOAs)
E01000001,City of London 001A,E09000001,City of London,0.0,32817,10,0.0,32770,10
E01000002,City of London 001B,E09000001,City of London,0.0,32832,10,0.0,32415,10
E01000003,City of London 001C,E09000001,City of London,0.2,15804,5,0.2,15417,5
E01000005,City of London 001E,E09000001,City of London,0.3,7874,3,0.4,2525,1
E01032739,City of London 001F,E09000001,City of London,0.1,28395,9,0.0,32836,10
E01032740,City of London 001G,E09000001,City of London,0.0,32367,10,0.0,32844,10
E01000006,Barking and Dagenham 016A,E09000002,Barking and Dagenham,0.2,15692,5,0.2,11114,4
E01000007,Barking and Dagenham 015A,E09000002,Barking and Dagenham,0.4,3493,2,0.4,3680,2
E01000008,Barking and Dagenham 015B,E09000002,Barking and Dagenham,0.4,3948,2,0.4,1972,1
E01000009,Barking and Dagenham 016B,E09000002,Barking and Dagenham,0.3,7497,3,0.4,2821,1
E01000010,Barking and Dagenham 015C,E09000002,Barking and Dagenham,0.3,5897,2,0.5,881,1
E01000011,Barking and Dagenham 016C,E09000002,Barking and Dagenham,0.3,6907,3,0.4,2645,1
E01000012,Barking and Dagenham 015D,E09000002,Barking and Dagenham,0.3,4709,2,0.4,2532,1
E01000013,Barking and Dagenham 013A,E09000002,Barking and Dagenham,0.3,5567,2,0.3,6077,2
E01000014,Barking and Dagenham 013B,E09000002,Barking and Dagenham,0.3,7076,3,0.3,4879,2
E01000015,Barking and Dagenham 009A,E09000002,Barking and Dagenham,0.4,3096,1,0.3,4005,2
E01000016,Barking and Dagenham 009B,E09000002,Barking and Dagenham,0.4,4524,2,0.3,6986,3
E01000017,Barking and Dagenham 009C,E09000002,Barking and Dagenham,0.4,1891,1,0.3,5283,2
E01000018,Barking and Dagenham 009D,E09000002,Barking and Dagenham,0.4,2505,1,0.3,7600,3
E01000019,Barking and Dagenham 023A,E09000002,Barking and Dagenham,0.3,4866,2,0.3,5900,2
E01000020,Barking and Dagenham 023B,E09000002,Barking and Dagenham,0.3,8340,3,0.3,5271,2
E01000021,Barking and Dagenham 008A,E09000002,Barking and Dagenham,0.4,3910,2,0.4,3057,1
E01000022,Barking and Dagenham 008B,E09000002,Barking and Dagenham,0.3,8140,3,0.3,8270,3
E01000023,Barking and Dagenham 008C,E09000002,Barking and Dagenham,0.5,1017,1,0.4,3021,1
E01000024,Barking and Dagenham 008D,E09000002,Barking and Dagenham,0.3,8225,3,0.3,5612,2
E01000025,Barking and Dagenham 008E,E09000002,Barking and Dagenham,0.4,4183,2,0.3,6726,3
E01000027,Barking and Dagenham 001A,E09000002,Barking and Dagenham,0.4,2822,1,0.3,7077,3
E01000028,Barking and Dagenham 001B,E09000002,Barking and Dagenham,0.4,3429,2,0.4,1967,1
E01000029,Barking and Dagenham 001C,E09000002,Barking and Dagenham,0.2,12993,4,0.2,15841,5
E01000030,Barking and Dagenham 001D,E09000002,Barking and Dagenham,0.4,2121,1,0.3,6730,3
E01000031,Barking and Dagenham 002A,E09000002,Barking and Dagenham,0.2,13293,5,0.2,11453,4
E01000032,Barking and Dagenham 002B,E09000002,Barking and Dagenham,0.2,10543,4,0.2,12465,4
