,Male,,,,Female,,,
,all_data,Camden,Enfield,K&C,all_data,Camden,Enfield,K&C
quantity,57,18,21,18,57,18,21,18
mean,81.2,80.5,80.1,83.0,85.5,86.1,84.1,86.6
median,81.0,80.4,80.9,83.5,85.5,86.3,84.4,86.4
min,74.8,76.7,76.1,74.8,78.6,80.3,78.6,81.9
max,91.9,84.8,83.5,91.9,92.9,90.7,87.2,92.9
range,17.1,8.1,7.4,17.1,14.3,10.4,8.6,11.0
LQ,78.4,78.2,78.8,79.9,84.1,85.3,82.5,85.3
UQ,83.3,82.7,81.7,86.3,87.2,87.9,85.4,88.0
IQR,4.9,4.6,2.9,6.4,3.1,2.6,2.9,2.7
lo-tukey,71.0,71.3,74.4,70.2,79.4,81.4,78.2,81.3
hi-tukey,90.6,89.6,86.2,96.0,91.8,91.9,89.7,92.0
lo-outliers,0,0,0,0,1,2,0,0
hi-outliers,1,0,0,0,1,0,0,1
variance,11.1,7.0,4.8,17.6,7.3,8.0,4.0,6.4
st. dev.,3.3,2.6,2.2,4.2,2.7,2.8,2.0,2.5
